author	publication_year	title	subject_topic
Holmberg, Johan Christopher (1743-1810)	1770	=Supplement au Catalogue de livres françois, qui se trouvent chez Jean Christ. Holmberg. Stockholm. 1-6. 1770-1773.=	NA
Lysén, Leonard Gabriel (1775-1844)	1813	=Appendix till bokbindaren Lyséns från Jönköping bokförteckning=. (Jönköping, tryckt hos J.P. Lundström.) =1-2. 1813=	NA
Lysén, Leonard Gabriel (1775-1844)	1813	=Appendix till bokbindaren Lyséns från Jönköping bokförteckning=. (Jönköping, tryckt hos J.P. Lundström.) =1-2. 1813=	NA
Lysén, Leonard Gabriel (1775-1844)	1814	=Appendix till Förteckningen öfwer böcker hwilka försäljas i Gabr. Lyséns bokhandel från Jönköping. Jönköping. 1-2. 1814-1815.=	NA
Lysén, Leonard Gabriel (1775-1844)	1815	=Appendix till Förteckningen öfwer böcker hwilka försäljas i Gabr. Lyséns bokhandel från Jönköping. Jönköping. 1-2. 1814-1815.=	NA
Lysén, Leonard Gabriel (1775-1844)	1817	=Förtekning på de böcker, som finnas till köps hos bokbindaren Gabriel Lysén i Jönköping=. (Jönköping, tryckt i Lundströmska tryckeriet, af S.J. Westberg.) =1-2. 1817=	NA
Lysén, Leonard Gabriel (1775-1844)	1817	=Förtekning på de böcker, som finnas till köps hos bokbindaren Gabriel Lysén i Jönköping=. (Jönköping, tryckt i Lundströmska tryckeriet, af S.J. Westberg.) =1-2. 1817=	NA
Lysén, Leonard Gabriel (1775-1844)	1819	=Appendix till Förtekning på böcker, hwilka försäljas i G. Lyséns bokhandel från Jönköping. Jönköping. 1-2. 1819-1820.=	NA
Lysén, Leonard Gabriel (1775-1844)	1820	=Appendix till Förtekning på böcker, hwilka försäljas i G. Lyséns bokhandel från Jönköping. Jönköping. 1-2. 1819-1820.=	NA
Lysén, Leonard Gabriel (1775-1844)	1824	=Appendix till Förtekning på böcker, hwilka försäljas i G. Lyséns bokhandel från Jönköping=. (Jönköping, tryckt hos direktören J.P. Lundström.) =1-2. 1824-1825=	NA
Lysén, Leonard Gabriel (1775-1844)	1825	=Appendix till Förtekning på böcker, hwilka försäljas i G. Lyséns bokhandel från Jönköping=. (Jönköping, tryckt hos direktören J.P. Lundström.) =1-2. 1824-1825=	NA
Wiborg, Anders (1776-1836)	1803	Förteckning på i Tyskland utkomna böcker, som finnas til salu i magister Wiborgs boklådor. nov. 1803. =(Rubr.)= =Stockholm. 1-2. 1803-1804.=	NA
Wiborg, Anders (1776-1836)	1804	Förteckning på i Tyskland utkomna böcker, som finnas til salu i magister Wiborgs boklådor. nov. 1803. =(Rubr.)= =Stockholm. 1-2. 1803-1804.=	NA
